key,en,es,ja
SAMI_INTRO_1,"Hey, hows it going","Oye, ¿cómo te va?",やあ、調子はどうだ
SAMI_INTRO_2,"Sometimes, I wish I was a little fairy",A veces desearía ser una pequeña hada.,時々、自分が小さな妖精だったらいいのにと思う
SAMI_INTRO_3,But if I was a little fairy,Pero si yo fuera una pequeña hada,でももし私が小さな妖精だったら
SAMI_INTRO_4,That would mean spiders would be REALLY big,Eso significaría que las arañas serían REALMENTE grandes.,それはクモが本当に大きいことを意味します
SAMI_INTRO_5,That's freaking horrifying,Eso es terriblemente horrible,それはとても恐ろしいことです
SAMI_INTRO_6,Now I wish to be a pirate instead,Ahora deseo ser un pirata,今は代わりに海賊になりたいです
SAMI_SEC_1,You know I heard you can go fishing around here,"Sabes, escuché que puedes ir a pescar por aquí.",この辺で釣りができると聞いたのですが
SAMI_SEC_2,You could find yourself so sucked into just fishing,Podrías quedarte tan absorbido simplemente por pescar,気が付くと釣りに夢中になっているかもしれません
SAMI_SEC_3,You might forget you have a life to be living,Podrías olvidar que tienes una vida que vivir.,生きるべき人生があることを忘れてしまうかもしれない
SAMI_SEC_4,But you do you I guess,"Pero lo haces, supongo",でもあなたはそうなのだと思います
